,Collection,24 hs %,7 d %,Owners,Items,Category,Chain,Twitter followers,Ownership %,Volume (USD) in M,Floor (USD),Gas Volume (USD) in M,Gas %,Market Share %,Growth,Ownership Status,Popularity,Accesibility,Gas Status,Market Status
0,goblintown.wtf,56.769999999999996,562.01,4500,10000,New,Ethereum,39500,45.0,23.216212677599998,5318.1359999999995,0.225,0.00969150322339568,63.14,Hot - buy now,Low OS,Potential community,Top Collectors,High gas,Whale
1,Chimpers,-35.620000000000005,-73.58,2800,5600,New,Ethereum,106700,50.0,15.160281926399998,3631.0031999999997,0.14,0.009234656761640104,41.23,Not interesting,Low OS,Community,Top Collectors,High gas,Whale
2,GENE_SIS: The Girls of Armament,-42.52,-29.29,4500,10000,New,Ethereum,236800,45.0,10.197379072799999,385.10639999999995,0.225,0.022064493081379533,27.73,Not interesting,Low OS,Community,Middle Accesible,High gas,Whale
3,AINightbirds,-53.6,0.0,4700,10000,New,Ethereum,11200,47.0,9.1864014192,421.7832,0.235,0.025581290134876887,24.98,Not interesting,Low OS,Potential community,Top Collectors,High gas,Whale
4,Moonbirds Oddities,-18.56,0.0,6200,10000,New,Ethereum,201900,62.0,6.842698884,5024.7216,0.31,0.04530376175471643,18.61,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale
7,Rarible,-1.81,-45.79,214100,315700,Art,Ethereum,477100,67.81754830535318,185.5226058696,0.0,10.705,0.05770186306850564,504.56,Not interesting,Medium OS,Community,Not interesting,High gas,Whale
8,SuperRare,-94.3,-42.0,6800,31700,Art,Ethereum,314200,21.451104100946374,123.090641712,275.07599999999996,0.34,0.0027621921152666614,334.76,Not interesting,Very low OS,Community,Middle Accesible,High gas,Whale
9,Karafuru,-80.87,-58.60999999999999,3700,5600,Art,Ethereum,419700,66.07142857142857,79.8649423344,1925.532,0.185,0.0023164106126239005,217.2,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale
12,Mutant Ape Tatch Club,-42.63,-8.89,12600,19400,Collectibles,Ethereum,1900,64.94845360824742,743.5259717688,29873.253599999996,0.63,0.0008473140467457658,2022.13,Not interesting,Medium OS,Emerging,Top Collectors,High gas,Whale
13,Azuki,-31.669999999999998,-0.48,5100,10000,Collectibles,Ethereum,311600,51.0,447.86159679599996,18044.9856,0.255,0.0005693723280233647,1218.02,Not interesting,Medium OS,Community,Top Collectors,High gas,Whale
14,Clone X  X TAKASHI MURAKAMI,-31.240000000000002,-39.129999999999995,9300,19300,Collectibles,Ethereum,26,48.18652849740933,375.05387594879994,22372.847999999998,0.465,0.001239821875786931,1020.01,Not interesting,Low OS,Emerging,Top Collectors,High gas,Whale
15,ENS: Ethereum Name Service,-1.7409999999999999,-26.229999999999997,400500,1200000,Domain Names,Ethereum,312,33.375,56.2776521328,18.3384,20.025,0.3558250787141302,153.06,Not interesting,Low OS,Emerging,Highly accesible,High gas,Whale
16,Unstoppable Domains,2750.0,-53.25,64600,319000,Domain Names,Ethereum,254900,20.25078369905956,2.217479328,18.3384,3.23,1.4566088437510791,6.03,Not interesting,Very low OS,Community,Highly accesible,High gas,Shark
17,Decentraland Names,-100.0,104.92999999999999,13300,34000,Domain Names,Ethereum,2235,39.11764705882353,1.6013274264,55.01519999999999,0.665,0.41528046609119146,4.36,Not interesting,Low OS,Emerging,Middle Accesible,High gas,Shark
18,Cryptovoxels Nammes,0.0,-100.0,2600,9500,Domain Names,Ethereum,81800,27.368421052631582,0.029433132,55.01519999999999,0.13,4.416791254155351,0.08,Not interesting,Not interesting,Community,Middle Accesible,High gas,Fish
19,Domains.Kred,0.0,0.0,17,24,Domain Names,Ethereum,56500,70.83333333333334,0.0108379944,7151.976,0.00085,0.07842779472187215,0.03,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Fish
20,WVRPS by WarpSound (Official),132.5,-42.68,4700,10000,Music,Ethereum,26400,47.0,11.017343952,256.7376,0.235,0.021330004856328372,29.96,Not interesting,Low OS,Potential community,Middle Accesible,High gas,Whale
21,The Orbs by BT,0.0,-8.200000000000001,1400,3300,Music,Ethereum,622700,42.42424242424242,4.4723506535999995,550.1519999999999,0.07,0.015651724433470755,12.16,Not interesting,Low OS,Community,Top Collectors,Medium gas,Shark
22,EulerBeats Genesis,0.0,0.0,431,54,Music,Ethereum,14100,798.1481481481482,4.227294614399999,2017.2240000000002,0.02155,0.0050978230678768765,11.5,Not interesting,Massive OS,Potential community,Top Collectors,Medium gas,Shark
23,EulerBeats Enigma,0.0,0.0,101,54,Music,Ethereum,14100,187.03703703703704,3.6902545703999996,0.0,0.00505,0.0013684692759428282,10.04,Not interesting,Massive OS,Potential community,Not interesting,Medium gas,Shark
24,Audioglyphs,0.0,15.2,2700,10000,Music,Ethereum,3920,27.0,2.0426593607999997,550.1519999999999,0.135,0.06609031470970655,5.56,Not interesting,Low OS,Emerging,Top Collectors,High gas,Shark
25,Justin Aversano - Twin Flames - Collection of 100 Twins Portraits,0.0,-100.0,88,100,Photography,Ethereum,78600,88.0,9.4968338544,206307.0,0.0044,0.0004633123067601552,25.83,Not interesting,Medium OS,Community,Top Collectors,Medium gas,Whale
26,Where My Vans Go,-100.0,-75.29,102,123,Photography,Ethereum,119000,82.92682926829268,6.536355912,82522.8,0.0051,0.0007802512697689832,17.78,Not interesting,Medium OS,Community,Top Collectors,Medium gas,Whale
27,Women Unite - 10k Assemble,10.63,-48.84,1500,6700,Photography,Ethereum,9615,22.388059701492537,1.2866954975999998,513.4752,0.075,0.05828884933528815,3.5,Not interesting,Very low OS,Emerging,Top Collectors,Medium gas,Shark
28,First Day Out by DrifterShoots,15.15,-53.23,6700,10400,Photography,Ethereum,119000,64.42307692307693,0.6920728775999999,73.3536,0.335,0.4840530684596793,1.88,Not interesting,Medium OS,Community,Middle Accesible,High gas,Shark
29,Editions x Guido,-33.73,-11.450000000000001,10400,2,Photography,Ethereum,25800,520000.0,0.662658084,91.69200000000001,0.52,0.7847184129425032,1.8,Not interesting,Massive OS,Potential community,Middle Accesible,High gas,Shark
31,The Association,-25.85,-3.549,15400,30000,Sports,Ethereum,27800,51.33333333333333,10.3643318664,36.6768,0.77,0.07429325979962621,28.19,Not interesting,Medium OS,Potential community,Highly accesible,High gas,Whale
32,F1 Delta Time,0.0,-79.28,1800,40500,Sports,Ethereum,0,4.444444444444445,7.709573390400001,18.3384,0.09,0.011673797685364595,20.97,Not interesting,Not interesting,Not interesting,Highly accesible,Medium gas,Whale
33,Legionfarm Gaming Heroes #1,-100.0,0.0,428,3000,Sports,Ethereum,9082,14.266666666666666,6.2181296568,0.0,0.0214,0.0034415493373634405,16.91,Not interesting,Very low OS,Emerging,Not interesting,Medium gas,Whale
34,MLB Champions,35.0,-98.25,2700,249100,Sports,Ethereum,3994,1.0839020473705339,6.0738798024000005,18.3384,0.135,0.022226320637207347,16.52,Not interesting,Not interesting,Emerging,Highly accesible,High gas,Whale
35,Parallel Alpha,-73.92,100.0,45600,535,Trading Cards,Ethereum,97200,8523.364485981308,121.44152441519999,18.3384,2.28,0.01877446788468202,330.28,Not interesting,Massive OS,Community,Highly accesible,High gas,Whale
37,My Curio Cards,-21.4,5.390000000000001,5000,30,Trading Cards,Ethereum,14400,16666.666666666664,68.8567675824,458.46,0.25,0.0036307251818178694,187.27,Not interesting,Massive OS,Potential community,Top Collectors,High gas,Whale
38,Meme Ltd.,0.0,275.96,8400,522,Trading Cards,Ethereum,23000,1609.1954022988507,8.8081719192,18.3384,0.42,0.0476829930038589,23.96,Not interesting,Massive OS,Potential community,Highly accesible,High gas,Whale
39,Playing Arts Crypto Edition,-100.0,-38.54,1500,7800,Trading Cards,Ethereum,6501,19.230769230769234,8.095578372,36.6768,0.075,0.009264316464330808,22.02,Not interesting,Very low OS,Emerging,Highly accesible,Medium gas,Whale
40,Emblem Vault [Ethereum],-63.870000000000005,-67.04,5600,26100,Utility,Ethereum,5361,21.455938697318008,61.01293876559999,0.0,0.28,0.004589190517042726,165.93,Not interesting,Very low OS,Emerging,Not interesting,High gas,Whale
41,Metroverse Genesis,30.3,-37.88,297,10000,Utility,Ethereum,273300,2.97,45.65896665839999,550.1519999999999,0.01485,0.00032523732109622787,124.18,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Whale
42,Project NANOPASS,-6.890000000000001,-19.41,4000,5600,Utility,Ethereum,1780,71.42857142857143,30.246164964,3392.604,0.2,0.00661240855619371,82.26,Not interesting,Medium OS,Emerging,Top Collectors,High gas,Whale
43,JRNY Club,148.77,4.977,6200,10000,Utility,Ethereum,283000,62.0,27.888378537599998,1650.456,0.31,0.011115741260541488,75.85,Emerging,Medium OS,Community,Top Collectors,High gas,Whale
44,Wolf Game Legacy,0.0,-100.0,13,13800,Utility,Ethereum,54600,0.09420289855072464,25.0067373768,3392.604,0.00065,2.5992995015936684e-05,68.01,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Whale
45,Descentraland,-19.61,-20.4,7200,97500,Virtual Worlds,Ethereum,630200,7.384615384615385,304.1315810208,3392.604,0.36,0.0011836981835022882,827.13,Not interesting,Very low OS,Community,Top Collectors,High gas,Whale
46,The Sandbox,-48.370000000000005,-91.0,21800,142000,Virtual Worlds,Ethereum,1000000,15.352112676056336,283.97313149760004,3099.1895999999997,1.09,0.003838391309246847,772.31,Not interesting,Very low OS,Community,Top Collectors,High gas,Whale
47,NFT Worlds,-28.689999999999998,6.35,760,10000,Virtual Worlds,Ethereum,142000,7.6,89.00450747999999,5868.2880000000005,0.038,0.000426944669162277,242.06,Not interesting,Very low OS,Community,Top Collectors,Medium gas,Whale
48,Decentraland Wearables,854.27,-35.0,10700,71600,Virtual Worlds,Ethereum,1797,14.94413407821229,88.8895073736,18.3384,0.535,0.006018708122111766,241.75,Not interesting,Very low OS,Emerging,Highly accesible,High gas,Whale
49,Town Star,5.18,-41.6,44300,518,Virtual Worlds,Ethereum,10700,8552.123552123552,50.785979853600004,18.3384,2.215,0.04361439921775946,138.12,Not interesting,Massive OS,Potential community,Highly accesible,High gas,Whale
50,Phantom Galaxies Planer Genesis Series,160.54,785.8299999999999,3700,7,New,Polygon,108200,52857.142857142855,0.1031351616,18.3384,0.185,1.793762642439104,0.28,Hot - buy now,Massive OS,Community,Highly accesible,High gas,Shark
51,Creadore Universe,23.3,9.92,1600,1600,New,Polygon,12500,100.0,0.06860395439999999,1026.9504,0.08,1.1661135382015242,0.19,Hot - watchlist,Not interesting,Potential community,Top Collectors,Medium gas,Fish
52,KemonoVerse,0.0,-90.7,531,3300,New,Polygon,8700,16.090909090909093,0.055675382399999994,146.7072,0.02655,0.4768714439938899,0.15,Not interesting,Not interesting,Emerging,Middle Accesible,Medium gas,Fish
53,The Cornz,-100.0,-93.55,1000,15000,New,Polygon,1330,6.666666666666667,0.0226295856,18.3384,0.05,2.2094969339606467,0.06,Not interesting,Not interesting,Emerging,Highly accesible,Medium gas,Fish
54,Adocatty,0.0,-50.89,65,2000,New,Polygon,0,3.25,0.016761297600000002,18.3384,0.00325,0.1938990690076405,0.05,Not interesting,Not interesting,Not interesting,Highly accesible,Medium gas,Fish
55,The Martians: Metaverse,-50.19,39.019999999999996,710,5000,Art,Polygon,73800,14.2,3.2997566808,1136.9808,0.0355,0.010758369005375664,8.97,Not interesting,Very low OS,Community,Top Collectors,Medium gas,Shark
56,DEFY Genesis Masks,-26.540000000000003,-26.05,4800,8700,Art,Polygon,34000,55.172413793103445,2.0585404152,513.4752,0.24,0.11658746081829173,5.6,Not interesting,Medium OS,Potential community,Top Collectors,High gas,Shark
57,Artvatars,-100.0,-80.22,1600,6700,Art,Polygon,22200,23.88059701492537,1.30477716,165.04559999999998,0.08,0.06131315174155869,3.55,Not interesting,Very low OS,Potential community,Middle Accesible,Medium gas,Shark
58,Chinese Zodiaz Metavase by YassartLabs,0.0,0.0,143,1000,Art,Polygon,108,14.299999999999999,0.779932152,0.0,0.00715,0.009167464095005023,2.12,Not interesting,Very low OS,Emerging,Not interesting,Medium gas,Shark
59,Redemption Tokens for Brendan Murphy Physical Art,0.0,0.0,1000,5,Art,Polygon,40000,20000.0,0.4628245392,0.0,0.05,0.10803230115331794,1.26,Not interesting,Massive OS,Potential community,Not interesting,Medium gas,Shark
61,BCCG,-100.0,55979.49999999999,5400,58,Collectibles,Polygon,0,9310.344827586207,7.376566384799999,18.3384,0.27,0.036602395466318376,20.06,Not interesting,Massive OS,Not interesting,Highly accesible,High gas,Whale
63,Chumbi Valley Official,149.48,44.07,1800,4100,Collectibles,Polygon,246300,43.90243902439025,5.69544858,366.76800000000003,0.09,0.015802091571161195,15.49,Hot - buy now,Low OS,Community,Middle Accesible,Medium gas,Shark
64,Ember Sword Land,-85.0,19.0,6100,40000,Collectibles,Polygon,2685,15.25,5.577844420799999,183.38400000000001,0.305,0.054680621578946,15.17,Not interesting,Very low OS,Emerging,Middle Accesible,High gas,Shark
65,,0.0,0.0,0,0,Domain Names,Polygon,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
66,,0.0,0.0,0,0,Domain Names,Polygon,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
67,,0.0,0.0,0,0,Domain Names,Polygon,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
68,,0.0,0.0,0,0,Domain Names,Polygon,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
69,,0.0,0.0,0,0,Domain Names,Polygon,0,0.0,0.0,0.0,0.0,0.0,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting,Not interesting
70,DogeSound Compilation (3PM official),0.0,-100.0,397,4,Music,Polygon,2288,9925.0,0.056702332800000005,0.0,0.01985,0.35007378038598086,0.15,Not interesting,Not interesting,Emerging,Not interesting,Medium gas,Fish
71,WVRPS Drops,5864.4,129.0,6100,10,Music,Polygon,26300,61000.0,0.013790476799999998,183.38400000000001,0.305,22.116711729648102,0.04,Hot - buy now,Not interesting,Potential community,Middle Accesible,High gas,Fish
72,XXXTentacion NFT Collection (Official),-100.0,136.0,2900,30000,Music,Polygon,0,9.666666666666666,0.0036493415999999997,183.38400000000001,0.145,39.73319461241995,0.01,Not interesting,Not interesting,Not interesting,Middle Accesible,High gas,Fish
73,Mint Songs,0.0,74.0,2800,74600,Music,Polygon,16100,3.753351206434316,0.0035026344,183.38400000000001,0.14,39.96991521581585,0.01,Not interesting,Not interesting,Potential community,Middle Accesible,High gas,Fish
74,Boomboom Monsters,0.0,-93.0,38,111,Music,Polygon,4600,34.234234234234236,0.0023473152,0.0,0.0019,0.8094353924006457,0.01,Not interesting,Not interesting,Emerging,Not interesting,Medium gas,Fish
75,Itadakimasu Man,0.0,-100.0,330,758,Photography,Polygon,2162,43.53562005277045,0.037685411999999995,183.38400000000001,0.0165,0.43783520265082954,0.1,Not interesting,Not interesting,Emerging,Middle Accesible,Medium gas,Fish
76,AP Photojournalism NFTs,0.0,-100.0,122,190,Photography,Polygon,15800000,64.21052631578948,0.0059416416,73.3536,0.0061,1.0266522975737884,0.02,Not interesting,Not interesting,Community,Middle Accesible,Medium gas,Fish
77,8 yers of Everydays,-100.0,0.0,7,2400,Photography,Polygon,0,0.2916666666666667,0.0006235056000000001,0.0,0.00035,0.5613421916338842,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Medium gas,Not interesting
78,Foundnon: Artifacts,0.0,0.0,80,130,Photography,Polygon,2778,61.53846153846154,0.0005318136,0.0,0.004,7.521432321399829,0.0,Not interesting,Not interesting,Emerging,Not interesting,Medium gas,Not interesting
79,The New Days,0.0,-100.0,2,4,Photography,Polygon,0,50.0,0.0005318136,0.0,0.0001,0.18803580803499573,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Medium gas,Not interesting
81,ZED RUN,-30.240000000000002,122.46999999999998,26700,200100,Sports,Polygon,69500,13.343328335832084,1.7413044335999999,18.3384,1.335,0.7666666289018745,4.74,Not interesting,Very low OS,Community,Highly accesible,High gas,Shark
82,REVV Racing,93.31,43.29,59400,169200,Sports,Polygon,157200,35.1063829787234,0.5957596008,18.3384,2.97,4.985232291702583,1.62,Hot - buy now,Low OS,Community,Highly accesible,High gas,Shark
83,MetaSoccer Youth Scouts,0.0,-80.21000000000001,1400,8500,Sports,Polygon,0,16.470588235294116,0.3896543232,36.6768,0.07,0.17964640922018135,1.06,Not interesting,Very low OS,Not interesting,Highly accesible,Medium gas,Shark
84,Friday Night Punks,-4.26,-2.97,657,321,Sports,Polygon,1700,204.6728971962617,0.0877675824,55.01519999999999,0.03285,0.37428397936593955,0.24,Not interesting,Massive OS,Emerging,Middle Accesible,Medium gas,Shark
85,BCCG,-100.0,55979.49999999999,5400,58,Trading Cards,Polygon,0,9310.344827586207,7.376566384799999,18.3384,0.27,0.036602395466318376,20.06,Not interesting,Massive OS,Not interesting,Highly accesible,High gas,Whale
87,Ethernity's Master Collection,5060.6,-43.84,8200,22100,Trading Cards,Polygon,127100,37.10407239819005,2.261308104,18.3384,0.41,0.18131098512173377,6.15,Not interesting,Low OS,Community,Highly accesible,High gas,Shark
88,Marble Cards,0.0,-100.0,10200,256900,Trading Cards,Polygon,27500,3.9704165044764497,1.134046656,0.0,0.51,0.44971694709534066,3.08,Not interesting,Not interesting,Potential community,Not interesting,High gas,Shark
89,PolkaFantasy,-100.0,2589.0,1300,6700,Trading Cards,Polygon,48800,19.402985074626866,0.41642838719999997,0.0,0.065,0.15608926287914698,1.13,Not interesting,Very low OS,Community,Not interesting,Medium gas,Shark
90,Decentral Games ICE Poker,33.37,-3.639,4100,34200,Utility,Polygon,101500,11.988304093567251,22.1858696736,605.1672,0.205,0.009240115578788378,60.34,Not interesting,Very low OS,Community,Top Collectors,High gas,Whale
91,Chicken Derby,-48.620000000000005,-2.807,6000,33300,Utility,Polygon,25000,18.01801801801802,7.375356050399999,36.6768,0.3,0.040676002344826406,20.06,Not interesting,Very low OS,Potential community,Highly accesible,High gas,Whale
92,Crypto Raiders Characters,53.900000000000006,63.980000000000004,4500,68900,Utility,Polygon,29000,6.531204644412192,4.1955691824,18.3384,0.225,0.053628003786435674,11.41,Hot - buy now,Very low OS,Potential community,Highly accesible,High gas,Shark
93,Genesis Curry Flow,4063.0000000000005,45.87,2200,5,Utility,Polygon,484000,44000.0,3.9900507336,183.38400000000001,0.11,0.027568571766192342,10.85,Hot - buy now,Massive OS,Community,Middle Accesible,Medium gas,Shark
94,The Red Village Champions,-12.3,-24.19,2000,11000,Utility,Polygon,19200,18.181818181818183,3.8367050328000003,110.03039999999999,0.1,0.02606403128337982,10.43,Not interesting,Very low OS,Potential community,Middle Accesible,Medium gas,Shark
95,Ember Sword Land,-85.08,19.0,6100,40000,Virtual Worlds,Polygon,87500,15.25,5.577844420799999,183.38400000000001,0.305,0.054680621578946,15.17,Not interesting,Very low OS,Community,Middle Accesible,High gas,Shark
96,Mona Spaces (Polygon),0.0,0.0,82,123,Virtual Worlds,Polygon,16800,66.66666666666666,0.044598988799999996,183.38400000000001,0.0041,0.09193033542500409,0.12,Not interesting,Not interesting,Potential community,Middle Accesible,Medium gas,Fish
97,Cyber Destinations Curated,0.0,0.0,1,1,Virtual Worlds,Polygon,0,100.0,0.0233997984,0.0,5e-05,0.002136770545852224,0.06,Not interesting,Not interesting,Not interesting,Not interesting,Low gas,Fish
98,NFT Moon Metaverse (Polygon),0.0,0.0,163,286,Virtual Worlds,Polygon,50800,56.993006993006986,0.0024573456000000003,1100.3039999999999,0.00815,3.316586808139644,0.01,Not interesting,Not interesting,Community,Top Collectors,Medium gas,Fish
99,Shen V4,0.0,0.0,163,10,Virtual Worlds,Polygon,0,1630.0,0.0,0.0,0.00815,inf,0.0,Not interesting,Not interesting,Not interesting,Not interesting,Medium gas,Not interesting
101,Cardboard Citizens,-27.42,-63.2,3100,6800,New,Solana,14400,45.588235294117645,3.1788,220.50000000000003,3.1331700000000004e-06,9.856455266138167e-07,8.65,Not interesting,Low OS,Potential community,Middle Accesible,Low gas,Shark
102,Balloonsville,-32.440000000000005,-15.879999999999999,1400,5000,New,Solana,16600,28.000000000000004,2.634165,0.0,1.4149799999999999e-06,5.371645284179237e-07,7.16,Not interesting,Low OS,Potential community,Not interesting,Low gas,Shark
